列1,列2,列3
construction,n.结构；作图(法),
radiator,n.暖气片，散热器,
brace,n.支柱,vt.拉紧，撑牢
abolish,vt.废除，取消,
pickle,n.腌制食品，泡菜,
awkward,a.不雅观的,
stammer,vt.口吃地说,n.口吃
sensitivity,n.敏感(性)；灵敏性,
annually,ad.年年，每年,
shorten,vt.弄短，缩小，减少,
outline,vt.概述，概括,
woe,n.悲哀，悲痛，苦恼,
boycott,vt.&n.联合抵制,
incline,n.坡度,
hard,a.(酒)烈性的,
scoff,vt.&vi.嘲笑，嘲弄,
historic,a.历史的；历史性的,
choice,n.入选者,a.优等的
thrash,vt.痛打，鞭打,vi.打
thesis,n.论题，论点；论文,
vowel,n.元音；元音字母,
striking,a.显著的，惊人的,
peck,vt.&vi.啄，啄起,
barley,n.大麦,
humidity,n.湿气；湿度,
prescription,n.药方，处方的药,
indignation,n.愤怒，愤慨，义愤,
comply,vi.应允，遵照，照做,
taper,n.细小的蜡烛；微光,
cradle,n.摇篮，发源地,
harbour,vt.隐匿，窝藏；怀着,
diplomatic,a.外交的；有策略的,
cape,n.披肩，斗篷；海角,
incompatible,a.不相容的,
olive,n.橄榄，橄榄树,
pierce,vt.穿透，戳穿，洞察,
vigorous,a.精力旺盛的，茁壮的,
economically,ad.节约地，在经济上,
outside,prep.在…外，向…外,
presume,vt.假定，假设，揣测,
polar,a.南(北)极的；极性的,
courageous,a.勇敢的，无畏的,
inherent,a.固有的，生来的,
valve,n.阀，阀门；电子管,
pope,n.(罗马天主教的)教皇,
impurity,n.不纯；杂质；不道德,
input,vt.输入,n.输入
vigour,n.活力，精力；元气,
sight,n.情景，名胜，风景,
blunder,vi.犯大错,n.大错
lodging,n.寄宿，住宿；住所,
console,n.悬臂，肘托；控制台,
wharf,n.码头，停泊所,
visa,n.签证,
repel,vt.拒绝；使厌恶,
stairway,n.楼梯,
resent,vt.对…不满，怨恨,
ignorance,n.无知，无学，愚昧,
repeal,vt.撤销；放弃,n.撤销
testify,v.证明，证实，作证,
vow,n.誓言，誓约，许愿,
correspondence,n.通信；符合；对应,
discrimination,n.辨别；识别力；歧视,
subtle,a.微妙的；精巧的,
conqueror,n.征服者，胜利者,
absurd,a.不合理的，荒唐的,
ingenuity,n.机灵；设计新颖,
offence,n.犯罪，犯规；冒犯,
predecessor,n.前辈，前任者,
maple,n.槭树，枫树,
statistics,n.统计，统计数字,
reel,vt.卷，绕,
bourgeois,a.资产阶级的；平庸的,
meditate,vt.沉思，冥想，反省,
module,n.模数；模；组件,
tyrant,n.暴君；专制君主,
fellowship,n.伙伴关系；联谊会,
spectrum,n.系列，范围；波谱,
virgin,n.处女,a.处女的
ivory,n.象牙；牙质；乳白色,
conservative,a.有保存力的，防腐的,
ice,vt.使成冰,vi.结冰
interact,vi.相互作用,
reside,vi.居住，驻扎；属于,
spice,n.香料，调味品；香气,
feminine,a.女性的；女子气的,
gracious,a.谦和的,
persevere,vi.坚持，不屈不挠,
mosque,n.清真寺,
qualify,vt.限制，限定，修饰,
cane,n.(藤等)茎；手杖,
coherent,a.粘着的；紧凑的,
clinic,n.诊所，医务室；会诊,
extravagant,a.奢侈的；过度的,
video,a.录象的,
spectator,n.参观者，观众,
superiority,n.优越(性)，优势,
corrosion,n.腐蚀，侵蚀；锈,
calibration,n.校准；标定，刻度,
assumption,n.采取；假定；傲慢,
productive,a.生产的；出产…的,
doubtless,ad.无疑地；很可能,
apt,a.恰当的；聪明的,
prediction,n.预言，预告；预报,
roller,n.滚柱，滚筒，辊,
regenerative,a.新生的；回授的,
sift,vt.筛，过滤,vi.通过
limb,n.分支，突出物,
sheriff,n.郡长；警察局长,
caution,n.小心；告诫,vt.警告
suitcase,n.小提箱，衣箱,
advantageous,a.有利的，有助的,
over,prep.在(做)…时,
concentrate,vt.&vi.浓缩，提浓,
overwhelming,a.压倒的，势不可挡的,
rebuke,vt.指责，非难，斥责,
adjoin,vt.贴近，毗连；靠近,
exceptional,a.例外的；优越的,
hitherto,ad.迄今，到目前为止,
torque,n.转(力)矩，扭(力)矩,
bid,vt.命令,vi.报价
haul,vt.拖曳；拖运,
coke,n.焦炭,vt.&vi.炼焦
cosmos,n.宇宙；秩序，和谐,
equivalent,a.等面(体)积的,
depression,n.消沉；不景气萧条期,
kinetic,a.动力(学)的；活动的,
luxurious,a.爱好奢侈的，豪华的,
ward,n.病房，病室；监房,
start,vt.开动，着手；开设,
oath,n.誓言，誓约，宣誓,
economics,n.经济学；经济,
modification,n.缓和；修改；修饰,
grumble,vi.抱怨，发牢骚,
discern,vt.看出，辨出；辨别,
Saturn,n.农神；土星,
prototype,n.原型；典型，范例,
displacement,n.移置；免职；置换,
relay,vt.分程传递；使接替,
vine,n.蔓，藤，藤本植物,
physically,ad.物质上；体格上,
warfare,n.战争，战争状态,
glorify,vt.赞美(上帝)；颂扬,
lathe,n.车床,vt.用车床加工
blast,n.管乐器的声音,
grassy,a.草多的；草似的,
directory,n.姓名地址录；董事会,
radius,n.半径距离；界限,
web,n.网，丝，网状物,
embassy,n.大使馆；大使的职务,
pasture,n.牧场；牲畜饲养,
martyr,n.烈士，殉难者,
grin,vi.咧着嘴笑,
bug,n.虫子；臭虫,
novel,a.新的，异常的,
rip,vi.撕啐，扯破，划破,
sculpture,n.雕刻(术)；雕刻品,
barely,ad.仅仅，勉强,
eloquence,n.雄辩；口才，修辞,
lump,vt.(使)成团,vi.结块
hose,n.长筒袜；软管,
mobilize,vt.动员,vi.动员起来
extraction,n.抽出；提取法；摘要,
symmetry,n.对称(性)，匀称,
intervene,vi.干涉，干预；播进,
replace,vt.送还，归还，赔还,
irrespective,a.不考虑的，不顾的,
straighten,vt.把…弄直vi.挺起来,
aviation,n.飞行,
promptly,ad.敏捷地，迅速地,
first-rate,a.第一流的，优秀的,
freshen,vt.使显得新鲜,
slide,n.滑板，滑座,
compression,n.压缩，压紧，浓缩,
maintenance,n.扶养；坚持,
incidence,n.发生，影响；入射,
wring,vt.拧，挤，扭，榨,
Islam,n.伊斯兰教，回教,
intercourse,n.交际，往来，交流,
hug,vt.搂,n.紧紧拥抱
integrate,vt.使结合，使并入,
merciful,a.仁慈的，宽大的,
reptile,n.爬行动物；两栖动物,
coefficient,n.协同因素；系数，率,
poultry,n.家禽,
ridicule,vi.&n.嘲弄，挖苦,
assert,vt.断言，宣称；维护,
thereafter,ad.此后，以后,
extinguish,vt.熄灭，扑灭；消灭,
cater,vi.迎合，投合,
ferry,n.渡船；渡口,vt.运送
overthrow,vt.推翻,n.推翻，瓦解
disagreement,n.不一致；争论,
murmur,n.低沉连续的声音,
vein,n.静脉，血管，矿脉,
postulate,vt.要求，假定，假设,
individual,a.特殊的,
surpass,vt.超过，超越，胜过,
wasp,n.黄蜂，蚂蜂,
objective,n.宾格,a.目标的
magnify,vt.放大，扩大,
utilization,n.利用，效用,
fragrant,a.香的，芬芳的,
faultless,a.无过失的；无缺点的,
youngster,n.儿童，少年，年轻人,
skyscraper,n.摩天楼,
length,n.程度，范围,
recommendation,n.推荐，介绍；建议,
leakage,n.漏，泄漏；漏出物,
revolve,vt.&vi.(使)旋转,
mitten,n.连指手套；露指手套,
drama,n.戏剧性事件；戏剧性,
flaw,n.缺点，瑕疵；裂隙,
modulate,vt.调整，调节(声音),
verge,n.边缘，边界，界限,
proceeding,n.程序，行动，事项,
satisfactorily,ad.圆满地,
simultaneous,a.同时的，同时存在的,
reveal,vt.告诉，揭示，泄露,
between,ad.当中，中间,
irrigation,n.灌溉；冲洗法,
slim,a.细长的；微小的,
microscopic,a.显微镜的，微观的,
second-hand,n.旧的，第二手的,
fossil,n.化石,a.化石的
literary,a.精通文学的,
introduce,vt.提出(议案等),
pilgrim,n.香客，朝圣者,
raisin,n.葡萄干,
penetration,n.穿入；渗透，侵入,
hostage,n.人质，抵押品,
trivial,a.琐碎的；平常的,
hymn,n.赞美诗，圣歌；赞歌,
representation,n.描写；陈述；代表,
sturdy,a.坚定的；牢固的,
disastrous,a.灾难性的；悲惨的,
sovereign,n.君主,a.统治的
climax,n.(兴趣的)顶点,
disappearance,n.消失，消散；失踪,
perpetual,a.永久的；四季开花的,
perfect,vt.使熟练，使改善,
turtle,n.海龟，玳瑁；甲鱼肉,
scorch,vi.烧焦，枯萎；挖苦,
hostile,a.敌对的；不友好的,
transaction,n.处理；交易；和解,
mend,vt.改正，修正；改进,
flask,n.瓶；火药筒；砂箱,
quest,vt.寻找,vi.追求
sweetness,n.甜蜜；新鲜；温和,
anode,n.阳极，正极，板极,
burner,n.灯头，煤气头,
datum,n.资料；数据；已知数,
bulletin,告示，公告，公报,
entitle,vt.把…称作,
raise,vt.提出，发起，发出,
deviation,n.背离，偏离；偏差数,
viscous,a.粘滞的，粘性的,
clash,n.碰撞声；抵触，冲突,
mute,n.弱音器；闭止音,
ambiguous,a.模棱两可的；分歧的,
supersonic,a.超声的，超声速的,
melody,n.旋律，曲调；歌曲,
horizon,n.层位,
rattle,vt.发出格格声,
coach,vt.辅导，指导，训练,
gramophone,n.留声机,
overwhelm,vt.压倒，使不知所措,
luminous,a.发光的；光明的,
amateur,a.业余的n.业余爱好者,
clip,vt.夹住,n.夹子，钳子
magnet,n.有吸引力的人(或物),
similarity,n.类似，相似；类似点,
prolong,vt.延长，拉长，拖延,
horn,n.角状物，角制品,
set,n.集(合),
coordinate,a.同等的,n.同等的人
rally,n.&vt.&vi.(重新)集合,
hesitate,vi.含糊，支吾；口吃,
clatter,n.得得声，卡嗒声,
symmetrical,a.对称的，匀称的,
avail,vt.有益于,n.效用
modesty,n.谦逊；端庄；羞怯,
strife,n.冲突，竞争,
undertake,vt.约定，保证；从事,
infinite,n.无限；无穷(大),
germ,n.细菌，病原菌；幼芽,
acquaint,vt.使认识，使了解,
currency,n.通货；通用；市价,
inspiration,n.灵感；妙想；鼓舞,
strait,n.海峡,
tramp,vt.&vi.&n.步行，跋涉,
hull,n.外壳，豆荚；薄膜,
dentist,n.牙科医生,
prohibition,n.禁止；禁令，禁律,
blacksmith,n.铁匠，锻工,
heave,vt.(用力地)举起；抛,
mint,n.造币厂；巨额，富源,
urge,vt.&vi.强烈希望,
salute,vt.迎接，欢迎,
rear,vt.饲养，培植；抚养,
rigorous,a.(性格等)严峻的,
distinguish,v.使显出特色，使杰出,
sham,n.假冒；膺品,vt.假装
extinct,a.绝种的；熄灭了的,
context,n.上下文；来龙去脉,
blond,n.白肤金发碧眼的人,
motive,a.发动的，运动的,
watchful,a.注意的，警惕的,
triangular,a.三角的；三者间的,
installment,n.分期付款,
prick,vt.刺(穿),n.刺孔
mild,a.(烟、酒)味淡的,
scratch,n.起跑线，起步线,
reciprocal,a.相互的；互利的,
puppy,n.小狗；幼小的动物,
mercury,n.汞，水银；水银柱,
sincerity,n.真诚，诚意；真实,
wisdom,n.(古人的)名言，格言,
scope,n.眼界,
vicious,a.邪恶的；恶性的,
composite,a.合成的,n.合成物
vicinity,n.邻近；附近地区,
sitting-room,n.起居室,
intake,n.吸入；输入能量,
provision,n.规定，条款，条项,
garment,n.衣服；服装，衣着,
cylinder,n.圆筒；柱(面)；汽缸,
microwave,n.微波,
twilight,n.黎明，黄昏；曙光,
norm,n.标准，规范；平均数,
impose,vi.利用；欺骗,
maid,n.少女；处女,
shatter,vt.粉碎，破碎；毁坏,
fury,n.狂怒，暴怒；猛烈,
moderately,ad.适度地，适中,
experimentation,n.实验，试验；实验法,
elliptical,a.椭圆的；省略的,
reactor,n.反应器；反应堆,
bound,a.应当的；必定的,
politics,n.政纲，政见，策略,
location,n.定位，测位；测量,
incapable,a.无能力的；无资格的,
dioxide,n.二氧化物,
solar,a.利用太阳光的,
outermost,a.最外面的，最远的,
house,n.议院，会议厅,
workpiece,n.工(作)件,
instrumental,a.仪器的；有帮助的,
hearty,a.衷心的；丰盛的,
petition,n.请愿,vt.向…请愿
priority,n.先，前；优先，重点,
endeavor,vi.&n.努力，尽力,
shabby,a.褴褛的；破旧的,
seemingly,ad.表面上，外表上,
characterize,vt.表示…的特性,
requisite,a.需要的,n.必需品
analytic(al),a.分析的；分解的,
oar,n.桨；划手,vi.划(行)
geographical,a.地理的；地区(性)的,
gossip,n.闲谈；碎嘴子；漫笔,
xerox,vt.&vi.用静电复印,
cancel,vt.删去，勾销，取消,
participant,n.参加者,a.有份的
spite,n.恶意，怨恨,
hearth,n.壁炉地面；炉边,
fluctuate,vi.波动,vt.使波动
widely,ad.大大地,
industrious,a.勤劳的，勤奋的,
frightful,a.可怕的；讨厌的,
sink,n.(厨房内的)洗涤槽,
subdivide,vt.把…再分,
pulley,n.滑轮，滑车，皮带轮,
comedy,n.喜剧；喜剧场面,
message,n.启示，要旨，教训,
stuffy,a.不透气的，闷热的,
gap,n.山口，山峡；差距,
shaft,n.(工具的)柄，杆状物,
guilt,n.有罪，犯罪；内疚,
availability,n.有效(性)；可得性,
stout,a.矮胖的；坚固的,
snore,vi.打鼾，打呼噜,
dealer,n.商人，贩子；发牌者,
numerical,a.数字的，数值的,
confirmation,n.证实，确定；确认,
negligible,a.微不足道的,
squash,vt.压碎,n.鲜果汁
cement,vt.粘结,vi.粘紧
comprehend,vt.了解，理解，领会,
engagement,n.婚约；约会，债务,
fright,n.惊吓，恐怖,
loosen,vi.变松,
grind,vt.折磨，压榨,
signify,vt.表示，意味着,
superstition,n.迷信，迷信行为,
thrifty,a.节俭的；兴旺的,
fantastic,a.空想的；奇异的,
watery,a.水的；湿的；乏味的,
cartridge,n.弹药筒，子弹；软片,
representative,a.代表性的；代议制的,
resign,vt.使顺从，使听任于,
dissipate,vt.驱散；浪费vi.消散,
excessively,ad.过分，极端地,
fragile,a.脆的；体质弱的,
exemplify,vt.举例证明(解释),
executive,n.总经理，董事,
electrician,n.电工，电气技师,
endurance,n.耐久力，持久力,
jungle,n.丛林，密林，莽丛,
surplus,n.过剩，剩余(物资),
marvel,n.奇迹；惊奇,vt.惊奇
resume,n.(谋职者的)个人简历,
hurricane,n.飓风，十二级风,
entreat,vt.&vi.恳求,
reign,n.朝代,
dazzle,vt.&vi.炫耀；迷惑,
margin,n.余地；幅度；赚头,
rapture,n.狂喜，欢天喜地,
gathering,n.集会，聚会，聚集,
tempt,vt.引诱，诱惑，劝诱,
seaport,n.海港，港口，港市,
foreign,a.无关的,
consolidate,vt.巩固,vi.合并
verse,n.诗，韵文；诗行,
engage,vt.使(齿轮等)啮合,
trade,vi.做买卖；交换,
expire,vi.满期，到期；断气,
automate,vt.使自动化,
hover,vi.徘徊；傍徨；翱翔,
crisis,n.危机；转折点,
kidnap,vt.诱拐，绑架,
denounce,vt.谴责，声讨；告发,
uranium,n.铀,
charm,n.魅力；妩媚,vi.迷人
section,n.切下的部分,
panel,n.(选定的)专门小组,
neighbouring,a.邻近的，接壤的,
stride,vi.大踏步走,n.大步
supervise,vt.&vi.监督，监视,
inferior,n.下级；晚辈，次品,
perpendicular,a.垂直的,n.垂直(线)
commonplace,a.平凡的,n.平常话
assault,vt.袭击；殴打,n.攻击
mist,n.薄雾,vi.下薄雾
